Species	Status	min_age	max_age
Lacertilia	extinct	145	157.3
Lacertilia	extinct	145	157.3
Serpentes	extinct	145	157.3
Chamaeleonidae	extinct	11.62	13.82
Varanus	extinct	0	2.588
Varanus	extinct	0	0.0117
Varanus	extinct	0	0.0117
Varanus	extinct	0	0.0117
Varanus_exanthematicus	extant	0	0.0117
Bitis	extinct	1.806	2.588
Bitis	extinct	1.806	2.588
Bitis	extinct	2.588	3.6
Bitis	extinct	2.588	3.6
Naja	extinct	2.588	3.6
Varanus_niloticus	extant	0.781	1.806
Python_sebae	extant	2.588	3.6
Varanidae	extinct	0.0117	2.588
Varanus_exanthematicus	extant	0	0.0117
Varanus_exanthematicus	extant	0	0.0117
Varanus_exanthematicus	extant	0	0.0117
Varanidae	extinct	11.62	13.82
Amphisbaenidae	extinct	11.62	13.82
Ophidia	extinct	11.62	13.82
Pythonidae	extinct	11.62	13.82
Varanidae	extinct	11.62	13.82
Pythonidae	extinct	11.62	13.82
Pythonidae	extinct	13.82	15.97
Varanidae	extinct	11.62	13.82
Amphisbaenidae	extinct	11.62	13.82
Ophidia	extinct	11.62	13.82
Ophidia	extinct	0.126	0.781
Varanus_niloticus	extant	0.0117	5.333
Python	extinct	2.588	5.333
Python	extinct	2.588	23.03
Varanus	extinct	2.588	23.03
Python_sebae	extant	2.588	23.03
Colubridae	extinct	5.333	23.03
Python_sebae	extant	2.588	23.03
Bitis	extinct	0.781	2.588
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Bicuspidon_numerosus	extinct	93.5	105.3
Atokasaurus_metarsiodon	extinct	109	122.46
Ptilotodon_wilsoni	extinct	109	122.46
Teiidae	extinct	109	122.46
Scincomorpha	extinct	109	122.46
Anguimorpha	extinct	109	122.46
Paramacellodus_keebleri	extinct	100.5	113
Paramacellodidae	extinct	100.5	113
Squamata	extinct	100.5	113
Paramacellodidae	extinct	100.5	113
Cnemidophorus	extinct	4.9	10.3
Eumeces	extinct	4.9	10.3
Pituophis_melanoleucus	extant	4.9	10.3
Lampropeltis_getulus	extant	4.9	10.3
Heterodon_nasicus	extinct	4.9	10.3
Thamnophis	extinct	4.9	10.3
Peneteius_aquilonius	extinct	66	70.6
Primaderma_nessovi	extinct	93.5	105.3
Primaderma_nessovi	extinct	93.5	105.3
Primaderma_nessovi	extinct	93.5	105.3
Primaderma_nessovi	extinct	93.5	105.3
Python_sebae	extant	2.588	11.608
Varanus_niloticus	extant	2.588	11.608
Prototeius_stageri	extinct	70.6	83.5
Prototeius_stageri	extinct	70.6	83.5
Haptosphenus	extinct	70.6	83.5
Contogenys	extinct	70.6	83.5
Odaxosaurus	extinct	70.6	83.5
Halisaurus	extinct	70.6	83.5
Mosasauria	extinct	66	72.1
Coluber_constrictor	extinct	0.0117	0.126
Pituophis	extinct	0.0117	0.126
Nerodia	extinct	0.0117	0.126
Regina	extinct	0.0117	0.126
Thamnophis_sirtalis	extant	0.0117	0.126
Heterodon	extinct	0.0117	0.126
Agkistrodon	extinct	0.0117	0.126
Crotalus	extinct	0.0117	0.126
Serpentes	extinct	0.0117	0.126
Serpentes	extinct	0.0117	0.126
Serpentes	extinct	0.0117	0.126
Palaeoscincosaurus_middletoni	extinct	63.3	66
Odaxosaurus_piger	extinct	63.3	66
Anguidae	extinct	63.3	66
Squamata	extinct	63.3	66
Clidastes_liodontus	extinct	70.6	83.5
Squamata	extinct	70.6	83.5
Iguanidae	extinct	50.3	55.8
Saniwa	extinct	50.3	55.8
Boidae	extinct	50.3	55.8
Iguanidae	extinct	15.97	20.43
Serpentes	extinct	15.97	20.43
Pseudosaurillus	extinct	93.5	105.3
Dimekodontosaurus_madseni	extinct	93.5	105.3
Bothriagenys_mysterion	extinct	93.5	105.3
Harmodontosaurus_emeryensis	extinct	93.5	105.3
Scincomorpha	extinct	93.5	105.3
Squamata	extinct	100.5	113
Dimekodontosaurus_madseni	extinct	93.5	105.3
Dimekodontosaurus_madseni	extinct	93.5	105.3
Harmodontosaurus_emeryensis	extinct	93.5	105.3
Scincomorpha	extinct	93.5	105.3
Dimekodontosaurus_madseni	extinct	93.5	105.3
Bothriagenys_mysterion	extinct	93.5	105.3
Harmodontosaurus_emeryensis	extinct	93.5	105.3
Scincomorpha	extinct	93.5	105.3
Serpentes	extinct	0.3	1.8
Heloderma	extinct	0.3	1.8
Cnemidophorus	extinct	0.3	1.8
Squamata	extinct	4.9	10.3
Chamops_segnis	extinct	55.8	56.8
Squamata	extinct	66	70.6
Python	extinct	11.608	20
Eryx	extinct	11.608	20
Boidae	extinct	11.608	20
Boidae	extinct	11.608	20
Texasophis	extinct	11.608	20
Neonatrix_europaea	extinct	11.608	20
Natrix	extinct	11.608	20
Natricinae	extinct	11.608	20
Natricinae	extinct	11.608	20
Natricinae	extinct	11.608	20
Natricinae	extinct	11.608	20
Micrurus_gallicus	extinct	11.608	20
Naja_romani	extinct	11.608	20
Naja	extinct	11.608	20
Elapidae	extinct	11.608	20
Elapidae	extinct	11.608	20
Vipera	extinct	11.608	20
Viperinae	extinct	11.608	20
Alamitophis_argentinus	extinct	66	72.1
Madtsoiidae	extinct	66	72.1
Boidae	extinct	66	72.1
Serpentes	extinct	66	72.1
Eryx	extinct	5.333	11.608
Calamagras_weigeli	extinct	11.608	15.97
Ogmophis	extinct	11.608	15.97
Charina_prebottae	extinct	11.608	15.97
Natricinae	extinct	11.608	15.97
Ameiseophis_robinsoni	extinct	11.608	15.97
Pseudocemophora	extinct	11.608	15.97
Charina_prebottae	extinct	11.608	15.97
Ameiseophis_robinsoni	extinct	11.608	15.97
Mosasauridae	extinct	70.6	83.5
Halisaurus_platyspondylus	extinct	66	70.6
Mosasaurus	extinct	66	70.6
Mosasaurus_maximus	extinct	66	70.6
Prognathodon_rapax	extinct	66	70.6
Mosasauridae	extinct	61.7	70.6
Mosasaurus	extinct	61.7	70.6
Indophis_sahnii	extinct	66	72.1
Serpentes	extinct	66	72.1
Anguidae	extinct	66	72.1
Lacertilia	extinct	66	72.1
Leiocephalus	extinct	33.3	33.9
Serpentes	extinct	46.2	50.3
Squamata	extinct	46.2	50.3
Glyptosaurus_sylvestris	extinct	50.3	55.8
Glyptosaurinae	extinct	50.3	55.8
Xestops	extinct	50.3	55.8
Restes_rugosus	extinct	50.3	55.8
Palaeoxantusia	extinct	50.3	55.8
Xestops	extinct	46.2	50.3
Machaerosaurus_torrejonensis	extinct	46.2	50.3
Tinosaurus	extinct	46.2	50.3
Saniwa_ensidens	extinct	46.2	50.3
Restes_rugosus	extinct	46.2	50.3
Parasauromalus_olseni	extinct	46.2	50.3
Palaeoxantusia	extinct	46.2	50.3
Amphisbaenidae	extinct	46.2	50.3
Boavus_occidentalis	extinct	46.2	50.3
Dunnophis	extinct	46.2	50.3
Calamagras_primus	extinct	46.2	50.3
Coniophis	extinct	46.2	50.3
Glyptosaurus	extinct	46.2	50.3
Xestops	extinct	46.2	50.3
Saniwa_ensidens	extinct	46.2	50.3
Palaeoxantusia	extinct	46.2	50.3
Boavus_occidentalis	extinct	46.2	50.3
Colubridae	extinct	17.5	21
Colubridae	extinct	5.333	23.03
Colubridae	extinct	11.608	15.97
Melanosaurus_maximus	extinct	50.3	55.8
Lacertilia	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Lacertilia	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	50.3	55.8
Melanosaurus_maximus	extinct	48.6	55.8
Proxestops	extinct	48.6	55.8
Nordenosaurus_magnus	extinct	13.6	15.97
Sceloporus	extinct	13.6	15.97
Leiocephalus	extinct	13.6	15.97
Eumeces	extinct	13.6	15.97
Gerrhonotus	extinct	13.6	15.97
Anguidae	extinct	13.6	15.97
Rhineura	extinct	13.6	15.97
Geringophis_depressus	extinct	13.6	15.97
Charina_prebottae	extinct	13.6	15.97
Ameiseophis_robinsoni	extinct	13.6	15.97
Nebraskophis_skinneri	extinct	13.6	15.97
Neonatrix_elongata	extinct	13.6	15.97
Neonatrix_magna	extinct	13.6	15.97
Paleoheterodon_tiheni	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Lampropeltis_similis	extinct	13.6	15.97
Elaphe_nebraskensis	extinct	13.6	15.97
Viperidae	extinct	13.6	15.97
Colubrinae	extinct	13.6	15.97
Phrynosoma	extinct	13.6	15.97
Iguanidae	extinct	13.6	15.97
Cnemidophorus	extinct	13.6	15.97
Gerrhonotus	extinct	13.6	15.97
Boidae	extinct	13.6	15.97
Coluber_constrictor	extinct	1.8	10.3
Paracoluber	extinct	1.8	10.3
Elaphe	extinct	1.8	10.3
Paleoheterodon_tiheni	extinct	1.8	10.3
Nerodia	extinct	1.8	10.3
Nerodia	extinct	1.8	10.3
Thamnophis	extinct	1.8	10.3
Eumeces	extinct	13.6	15.97
Cnemidophorus	extinct	13.6	15.97
Pterygoboa_miocenica	extinct	13.6	15.97
Paleoheterodon_tiheni	extinct	13.6	15.97
Nerodia	extinct	13.6	15.97
Thamnophis	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Parophisaurus	extinct	50.3	55.8
Palaeophis_toliapicus	extinct	50.3	55.8
Palaeophis_casei	extinct	50.3	55.8
Palaeophis_virginianus	extinct	50.3	55.8
Ophisaurus_compressus	extinct	0.3	1.8
Thamnophis	extinct	0.3	1.8
Elaphe_obsoleta	extinct	0.3	1.8
Agkistrodon_piscivorous	extinct	0.3	1.8
Crotalus_adamanteus	extinct	0.3	1.8
Ophisaurus_compressus	extinct	0.3	1.8
Nerodia	extinct	0.3	1.8
Thamnophis	extinct	0.3	1.8
Nerodia	extinct	0.3	1.8
Regina	extinct	0.3	1.8
Regina_alleni	extinct	0.3	1.8
Lampropeltis_getulus	extant	0.3	1.8
Colubrinae	extinct	0.3	1.8
Farancia	extinct	0.3	1.8
Agkistrodon_piscivorous	extinct	0.3	1.8
Sistrurus	extinct	0.3	1.8
Peltosaurus	extinct	20.44	23.03
Boidae	extinct	20.44	23.03
Anilioides_nebraskensis	extinct	20.44	23.03
Sceloporus	extinct	13.6	15.97
Geringophis_depressus	extinct	13.6	15.97
Paleoheterodon_tiheni	extinct	13.6	15.97
Elaphe_nebraskensis	extinct	13.6	15.97
Lampropeltis_similis	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Natricinae	extinct	13.6	15.97
Swainiguanoides_milleri	extinct	61.7	63.3
Palaeoxantusia_fera	extinct	61.7	63.3
Palaeoxantusia_fera	extinct	61.7	63.3
Exostinus_lancensis	extinct	61.7	63.3
Odaxosaurus_piger	extinct	61.7	63.3
Glyptosaurinae	extinct	61.7	63.3
Anguidae	extinct	61.7	63.3
Machaerosaurus_torrejonensis	extinct	61.7	63.3
Provaranosaurus	extinct	61.7	63.3
Saniwa	extinct	61.7	63.3
Saniwa	extinct	61.7	63.3
Eumeces	extinct	13.6	15.97
Ogmophis_miocompactus	extinct	13.6	15.97
Charina_prebottae	extinct	13.6	15.97
Paleoheterodon_tiheni	extinct	13.6	15.97
Neonatrix_elongata	extinct	13.6	15.97
Dakotaophis	extinct	13.6	15.97
Ameiseophis_robinsoni	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Pterosphenus_schucherti	extinct	33.9	38
Pterosphenus_schucherti	extinct	33.9	38
Huberophis_georgiensis	extinct	33.9	38
Ogmophis_voorhiesi	extinct	33.9	38
Rhineura_marslandensis	extinct	15.97	20.43
Holbrookia_antiqua	extinct	15.97	20.43
Sceloporus	extinct	15.97	20.43
Paragerrhonotus_ricardensis	extinct	15.97	20.43
Gerrhonotus	extinct	15.97	20.43
Lacertilia	extinct	15.97	20.43
Charina_prebottae	extinct	15.97	20.43
Dakotaophis	extinct	15.97	20.43
Rhineura_marslandensis	extinct	15.97	20.43
Sceloporus	extinct	15.97	20.43
Salvadora_paleolineata	extinct	15.97	20.43
Ogmophis_miocompactus	extinct	20.43	24.8
Calamagras_platyspondyla	extinct	20.43	24.8
Geringophis_yatkolae	extinct	15.97	23.03
Ogmophis_miocompactus	extinct	15.97	23.03
Colubrinae	extinct	15.97	23.03
Xantusiidae	extinct	13.6	15.97
Charina_prebottae	extinct	13.6	15.97
Salvadora	extinct	13.6	15.97
Elaphe_nebraskensis	extinct	13.6	15.97
Lampropeltis_similis	extinct	13.6	15.97
Rhineura	extinct	15.97	20.43
Odaxosaurus_piger	extinct	70.6	83.5
Proxestops	extinct	70.6	83.5
Glyptosaurinae	extinct	70.6	83.5
Anguidae	extinct	70.6	83.5
Restes	extinct	70.6	83.5
Necrosauridae	extinct	70.6	83.5
Scincidae	extinct	70.6	83.5
Scincidae	extinct	70.6	83.5
Apsgnathus_triptodon	extinct	70.6	83.5
Serpentes	extinct	70.6	83.5
Squamata	extinct	70.6	83.5
Gerrhonotus	extinct	10.3	13.6
Ophisaurus	extinct	10.3	13.6
Eumeces	extinct	10.3	13.6
Colubrinae	extinct	10.3	13.6
Paleoheterodon	extinct	10.3	13.6
Paleoheterodon	extinct	10.3	13.6
Nerodia_hillmani	extinct	10.3	13.6
Thamnophis	extinct	10.3	13.6
Colubridae	extinct	10.3	13.6
Colubrinae	extinct	10.3	13.6
Cnemidophorus_sexlineatus	extinct	10.3	13.6
Tregophis_brevirachis	extinct	10.3	13.6
Ogmophis_pliocompactus	extinct	10.3	13.6
Elaphe	extinct	10.3	13.6
Lampropeltis_similis	extinct	10.3	13.6
Texasophis_wilsoni	extinct	10.3	13.6
Mosasaurus_maximus	extinct	66	72.1
Halisaurus_platyspondylus	extinct	66	72.1
Prognathodon_rapax	extinct	66	72.1
Mosasaurus_maximus	extinct	66	72.1
Mosasaurus_conodon	extinct	66	72.1
Halisaurus_platyspondylus	extinct	66	72.1
Mosasaurus_maximus	extinct	66	72.1
Mosasaurus_dekayi	extinct	66	72.1
Mosasauridae	extinct	66	72.1
Mosasauridae	extinct	66	72.1
Clidastes	extinct	70.6	83.5
Globidens	extinct	70.6	83.5
Phrynosoma	extinct	1.8	4.9
Eumeces	extinct	1.8	4.9
Coluber_constrictor	extinct	1.8	4.9
Elaphe_guttata	extinct	1.8	4.9
Elaphe_vulpina	extinct	1.8	4.9
Lampropeltis_calligaster	extinct	1.8	4.9
Lampropeltis_getulus	extant	1.8	4.9
Lampropeltis_triangulum	extinct	1.8	4.9
Masticophis	extinct	1.8	4.9
Rhinocheilus	extinct	1.8	4.9
Nerodia	extinct	1.8	4.9
Regina	extinct	1.8	4.9
Thamnophis	extinct	1.8	4.9
Thamnophis	extinct	1.8	4.9
Thamnophis_sirtalis	extant	1.8	4.9
Heterodon_nasicus	extinct	1.8	4.9
Heterodon_platyrhinos	extinct	1.8	4.9
Agkistrodon	extinct	1.8	4.9
Crotalus_horridus	extinct	1.8	4.9
Sistrurus	extinct	1.8	4.9
Eumeces	extinct	1.8	4.9
Elaphe_guttata	extinct	1.8	4.9
Nerodia	extinct	1.8	4.9
Nerodia	extinct	1.8	4.9
Regina	extinct	1.8	4.9
Thamnophis	extinct	1.8	4.9
Thamnophis	extinct	1.8	4.9
Thamnophis_sirtalis	extant	1.8	4.9
Agkistrodon	extinct	1.8	4.9
Crotalus_horridus	extinct	1.8	4.9
Calamagras_weigeli	extinct	13.6	15.97
Elaphe_nebraskensis	extinct	13.6	15.97
Neonatrix_elongata	extinct	13.6	15.97
Eumeces	extinct	13.6	15.97
Ogmophis_miocompactus	extinct	13.6	15.97
Dakotaophis	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Viperidae	extinct	13.6	15.97
Salvadora_paleolineata	extinct	5.333	23.03
Elaphe_nebraskensis	extinct	5.333	23.03
Texasophis_fossilis	extinct	5.333	23.03
Neonatrix_elongata	extinct	5.333	23.03
Boinae	extinct	13.6	15.97
Ophisaurus_ventralis	extinct	13.6	15.97
Gerrhonotus	extinct	13.6	15.97
Eumeces	extinct	13.6	15.97
Charina_prebottae	extinct	13.6	15.97
Neonatrix_elongata	extinct	13.6	15.97
Nebraskophis_skinneri	extinct	13.6	15.97
Salvadora_paleolineata	extinct	13.6	15.97
Elaphe_nebraskensis	extinct	13.6	15.97
Paleoheterodon_tiheni	extinct	13.6	15.97
Glyptosaurinae	extinct	50.3	55.8
Leiocephalus	extinct	13.6	15.97
Cnemidophorus	extinct	13.6	15.97
Scincidae	extinct	13.6	15.97
Natricinae	extinct	13.6	15.97
Colubrinae	extinct	13.6	15.97
Heloderma	extinct	13.6	15.97
Palaeoxantusia_fera	extinct	61.7	63.3
Machaerosaurus_torrejonensis	extinct	61.7	63.3
Proxestops_silberlingii	extinct	61.7	63.3
Varanoidea	extinct	61.7	63.3
Proxestops_silberlingii	extinct	61.7	63.3
Teiinae	extinct	113	125
Anguidae	extinct	113	125
Lacertilia	extinct	113	125
Anguidae	extinct	100.5	113
Lacertilia	extinct	100.5	113
Lacertilia	extinct	100.5	113
Lacertilia	extinct	100.5	113
Glyptosaurinae	extinct	40.4	46.2
Pterosphenus_schucherti	extinct	40.4	46.2
Pterosphenus_schucherti	extinct	33.9	38
Charina_prebottae	extinct	4.9	10.3
Paleoheterodon_tiheni	extinct	4.9	10.3
Miocoluber_dalquesti	extinct	4.9	10.3
Colubrinae	extinct	4.9	10.3
Thamnophis	extinct	4.9	10.3
Charina_prebottae	extinct	4.9	10.3
Lichanura	extinct	4.9	10.3
Arizona_voorhiesi	extinct	4.9	10.3
Nebraskophis_skinneri	extinct	4.9	10.3
Paracoluber_storeri	extinct	4.9	10.3
Colubrinae	extinct	4.9	10.3
Lampropeltis_triangulum	extinct	4.9	10.3
Lampropeltis_getulus	extant	4.9	10.3
Salvadora_paleolineata	extinct	4.9	10.3
Elaphe_nebraskensis	extinct	4.9	10.3
Neonatrix_elongata	extinct	4.9	10.3
Nerodia	extinct	4.9	10.3
Thamnophis	extinct	4.9	10.3
Paleoheterodon_tiheni	extinct	4.9	10.3
Heterodon_platyrhinos	extinct	4.9	10.3
Agkistrodon	extinct	4.9	10.3
Crotalus_horridus	extinct	4.9	10.3
Colubrinae	extinct	4.9	10.3
Lampropeltis_getulus	extant	4.9	10.3
Elaphe_obsoleta	extinct	4.9	10.3
Pituophis_melanoleucus	extant	4.9	10.3
Thamnophis	extinct	4.9	10.3
Heterodon	extinct	4.9	10.3
Crotalus	extinct	4.9	10.3
Colubrinae	extinct	4.9	10.3
Lampropeltis_triangulum	extinct	4.9	10.3
Lampropeltis_getulus	extant	4.9	10.3
Elaphe_obsoleta	extinct	4.9	10.3
Elaphe_guttata	extinct	4.9	10.3
Pituophis_melanoleucus	extant	4.9	10.3
Thamnophis	extinct	4.9	10.3
Crotalus	extinct	4.9	10.3
Colubrinae	extinct	4.9	10.3
Lampropeltis_triangulum	extinct	4.9	10.3
Elaphe_guttata	extinct	4.9	10.3
Pituophis_melanoleucus	extant	4.9	10.3
Nerodia	extinct	4.9	10.3
Thamnophis	extinct	4.9	10.3
Paleoheterodon_tiheni	extinct	4.9	10.3
Heterodon_platyrhinos	extinct	4.9	10.3
Crotalus	extinct	4.9	10.3
Palaeophis_casei	extinct	50.3	55.8
Palaeophis_littoralis	extinct	50.3	55.8
Palaeophis_virginianus	extinct	50.3	55.8
Palaeophis_littoralis	extinct	48.6	55.8
Palaeophis_virginianus	extinct	48.6	55.8
Pterosphenus_schucherti	extinct	33.9	37.2
Nerodia	extinct	1.8	4.9
Nerodia	extinct	1.8	4.9
Sceloporus	extinct	13.6	15.97
Ameiseophis_robinsoni	extinct	13.6	15.97
Lampropeltis_similis	extinct	13.6	15.97
Neonatrix_magna	extinct	13.6	15.97
Nerodia	extinct	13.6	15.97
Thamnophis	extinct	13.6	15.97
Pituophis_melanoleucus	extant	0.126	0.781
Thamnophis	extinct	0.126	0.781
Phrynosoma	extinct	0.126	0.781
Sceloporus_undulatus	extant	0.126	0.781
Heterodon_nasicus	extinct	0.126	0.781
Heterodon_nasicus	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Holbrookia	extinct	0.126	0.781
Heterodon_nasicus	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Sceloporus_undulatus	extant	0.126	0.781
Heterodon_nasicus	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Thamnophis_sirtalis	extant	0.126	0.781
Crotalus	extinct	0.126	0.781
Holbrookia	extinct	0.126	0.781
Sceloporus_undulatus	extant	0.126	0.781
Thamnophis	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Thamnophis_sirtalis	extant	0.126	0.781
Holbrookia	extinct	0.126	0.781
Sceloporus_undulatus	extant	0.126	0.781
Pterosphenus_schucherti	extinct	33.9	37.2
Thamnophis	extinct	0.126	0.781
Thamnophis	extinct	0.126	0.781
Thamnophis_sirtalis	extant	0.126	0.781
Pituophis_melanoleucus	extant	0.126	0.781
Thamnophis_sirtalis	extant	0.126	0.781
Lacertilia	extinct	0.126	0.781
Kourisodon_puntledgensis	extinct	83.5	85.8
Mosasauridae	extinct	83.5	85.8
Mosasauridae	extinct	83.5	85.8
Odaxosaurus_piger	extinct	66	70.6
Restes_rugosus	extinct	56.8	61.7
Odaxosaurus_piger	extinct	56.8	61.7
Provaranosaurus_acutus	extinct	56.8	61.7
Oligodontosaurus_wyomingensis	extinct	56.8	61.7
Restes_rugosus	extinct	56.8	61.7
Odaxosaurus_piger	extinct	56.8	61.7
Odaxosaurus_piger	extinct	56.8	61.7
Archaerhineura_mephitis	extinct	56.8	61.7
Ophidia	extinct	15.97	20.44
Ophidia	extinct	15.97	20.44
Agamidae	extinct	15.97	20.44
Gekkonidae	extinct	15.97	20.44
Mosasaurus_mangahouangae	extinct	66	85.8
Scincomorpha	extinct	66	70.6
Scandensia_ciervensis	extinct	125.45	130
Colubridae	extinct	0.3	1.8
Colubridae	extinct	0.3	1.8
Paramacellodus	extinct	140.2	145
Ophidia	extinct	15.97	20.44
Calamagras_turkestanicus	extinct	47.8	56
Palaeophis_ferganicus	extinct	47.8	56
Boidae	extinct	47.8	56
Madtsoiidae	extinct	93.9	100.5
Palaeophiidae	extinct	93.9	100.5
Coniophis_dabiebus	extinct	93.9	100.5
Coniophis_dabiebus	extinct	93.9	100.5
Nubianophis_afaahus	extinct	93.9	100.5
